strategy,data_file,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,mdd,total_trades,buys,sells,total_fees
ma_cross,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,9733.859790899498,-0.026599415034272766,-0.0029539822137040705,0.003816746757809414,-0.7739528976833475,-0.03681247984203473,3639,1820,1819,364.1766532683907
trend_following,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
dual_momentum,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,9877.199237549261,-0.012280076245073879,-0.0013564237415909116,0.0018361238848579352,-0.7387430401827804,-0.015436795302616213,1073,537,536,107.33495735362705
atr_breakout,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,9925.055104066401,-0.007494489593359854,-0.0008224207578213178,0.0025200168221839944,-0.32635526487565447,-0.017182072142693294,1421,711,710,142.23890479308693
bollinger_squeeze,data/ohlcv_full_BTCUSDT_1h.parquet,1h,55056,2020-01-01 00:00:00+00:00 ~ 2026-04-14 07:00:00+00:00,10000,9925.293094727744,-0.0074706905272255986,-0.0008245676565363694,0.0007536101679164538,-1.0941567544423383,-0.007912824586625455,202,101,101,20.155506316736044
ma_cross,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10125.633578017425,0.012578454935871619,0.001378609758815607,0.003564683495710386,0.3867411398761871,-0.011850787066626123,873,437,436,87.5566001941608
trend_following,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
dual_momentum,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10092.06500586696,0.00920650058669592,0.0010137772541694706,0.0017248466703793893,0.5877492017065701,-0.002955573027600189,220,110,110,22.125206213467827
atr_breakout,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,10113.826962736319,0.011382696273631865,0.0012465940142999475,0.0023711625927124824,0.5257311403298497,-0.004163940851758974,399,200,199,40.070110661638346
bollinger_squeeze,data/ohlcv_full_BTCUSDT_4h.parquet,4h,13772,2020-01-01 00:00:00+00:00 ~ 2026-04-14 08:00:00+00:00,10000,9954.09440351226,-0.004590559648774084,-0.0005098508742807216,0.0008325654661369285,-0.6123853251252716,-0.005594359331274501,62,31,31,6.163403284502682
ma_cross,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10254.272395517735,0.025442626318381345,0.0027888775798142057,0.004182276914037805,0.6668323586576753,-0.009360677535873996,131,66,65,13.370727652622513
trend_following,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
dual_momentum,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,9966.5065031167,-0.0033493496883300056,-0.0003828497238805692,0.001072792451791827,-0.3568721264623404,-0.004054070796247866,28,14,14,2.770669030455341
atr_breakout,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10170.101791171519,0.01701017911715197,0.0018716307111122012,0.002556225866080666,0.7321851856736331,-0.004952006840742151,82,41,41,8.382586100070599
bollinger_squeeze,data/ohlcv_full_BTCUSDT_1d.parquet,1d,2296,2020-01-01 00:00:00+00:00 ~ 2026-04-14 00:00:00+00:00,10000,10016.073246139802,0.0016073246139802766,0.00018783356235230246,0.0006362750834438834,0.2952081056520901,-0.0016755060646420628,8,4,4,0.8172905366764796
