strategy,data_file,coin,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,calmar,mdd,win_rate,profit_factor,avg_win,avg_loss,total_roundtrips,total_trades,buys,sells,total_fees
ma_cross,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,6947.243695324591,-0.3051199332493374,-0.042427041832366626,0.1968481099712306,-0.2155318729671919,-0.07871592611851223,-0.538989298917872,0.27564102564102566,0.9531507203992923,131.30753829073132,-52.42254377811048,1716,3432,1716,1716,10011.284779200789
trend_following,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,7194.112364504915,-0.28058876354950857,-0.05288069573243887,0.08855112641637362,-0.59717699674641,-0.15379427013975447,-0.34384048043032966,0.16524216524216523,0.7474814745502673,143.20212768458586,-37.92358717133459,351,702,351,351,2027.702348899088
dual_momentum,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10007.578747996376,0.0007578747996377366,0.00427604175579984,0.0868355810272704,0.049242968206865814,0.026035532957919414,-0.16423868728499103,0.27755102040816326,1.000525636195619,106.07218513967254,-40.729487093217706,490,980,490,490,3146.688148162632
atr_breakout,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,8921.632572230546,-0.10783674277694533,-0.009655346926780915,0.1328528586597875,-0.07267699787652941,-0.02422956704395646,-0.39849440599744446,0.43215339233038347,0.9730685004099437,132.9786803700475,-104.00291110699574,678,1356,678,678,4197.044185598841
bollinger_squeeze,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10194.979758658259,0.0194979758658258,0.004012540195968983,0.03705809729309581,0.10827701606278291,0.04525471961273917,-0.08866567355317789,0.4105263157894737,1.054895605915209,96.07199777808029,-63.42550276226598,95,190,95,95,563.9534862840662
enhanced_trend,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11434.31817244131,0.1434318172441309,0.025123812299382917,0.06889131088342022,0.36468767943076935,0.1710740723073662,-0.14685926371164104,0.3037037037037037,1.2129513847673097,199.26203909834734,-71.65346202756325,135,270,135,135,837.8902325267729
enhanced_breakout,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11435.555143983955,0.14355551439839553,0.02532588820342274,0.06897416545775083,0.36717933497243377,0.13594047639447696,-0.18630130535805411,0.4134078212290503,1.1382457882098875,159.72478160399768,-98.89598756868462,179,358,179,179,1153.6384453209578
ensemble,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,18346.22021106789,0.8346220211067892,0.10986229488017081,0.12005813450424184,0.9150758116716708,0.6774133824617383,-0.1621791032238703,0.3373253493013972,1.3187734038102443,204.31075786638309,-78.86234297696035,501,1002,501,501,3173.8244212086297
supertrend,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,21131.37329512754,1.113137329512754,0.13242459241913812,0.09807656009451478,1.350216527681767,1.485759101243051,-0.0891292486829528,0.3754646840148699,1.5994670335681975,294.0609539645531,-110.52847056721636,269,538,269,269,1839.847855186979
adaptive_regime,data/ohlcv_full_BTCKRW_1h.parquet,BTCKRW,1h,51353,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11192.333562747204,0.11923335627472054,0.030073722003776008,0.16058862899092594,0.187271802446785,0.08236232502817988,-0.3651393036003302,0.37142857142857144,1.0242758254753759,128.99595086875823,-74.41831405464931,1050,2100,1050,1050,6682.6875306465345
