strategy,timeframe,session,session_hours,cum_return,ann_return,sharpe,mdd,total_trades
ma_cross,1h,all,00:00-24:00 UTC,-0.026599415034272766,-0.0029539822137040705,-0.7739528976833475,-0.03681247984203473,3639
ma_cross,1h,asia,00:00-08:00 UTC,-0.005244795697504023,-0.0005752043432721463,-0.28634175119998795,-0.013283375422696198,1176
ma_cross,1h,europe,07:00-16:00 UTC,-0.017453091102788143,-0.0019297374038436516,-0.801074664243429,-0.021898717386566457,1457
ma_cross,1h,us,13:00-21:00 UTC,-0.004770913274555033,-0.0005243660294401248,-0.2386503853280623,-0.010430927819039648,1233
ma_cross,1h,overlap,13:00-16:00 UTC,-0.005284917465771866,-0.0005808159023102483,-0.4180449101342317,-0.006402901533433147,493
ma_cross,1h,night,21:00-24:00 UTC,-0.006552861308789404,-0.0007208442209897383,-0.5242993283775828,-0.008834335960848594,452
trend_following,1h,all,00:00-24:00 UTC,-0.0012896443546327463,-0.00014036662247349298,-0.08886239743510561,-0.004293955444974462,776
trend_following,1h,asia,00:00-08:00 UTC,0.0002674348644187141,2.9827346117298665e-05,0.03000694777310995,-0.003269853533143685,220
trend_following,1h,europe,07:00-16:00 UTC,0.0011380762920221166,0.00012533736608881144,0.12425750272770404,-0.0020017550308114584,304
trend_following,1h,us,13:00-21:00 UTC,0.000975471767880709,0.00010749405129152048,0.10968345179909376,-0.0022581629537012926,310
trend_following,1h,overlap,13:00-16:00 UTC,0.0005269900678590567,5.8043104790712186e-05,0.09451228671186143,-0.0016350156732648502,122
trend_following,1h,night,21:00-24:00 UTC,-0.0027934160664971897,-0.00030689058260139804,-0.7132713011542365,-0.002891874406289019,98
dual_momentum,1h,all,00:00-24:00 UTC,-0.012280076245073879,-0.0013564237415909116,-0.7387430401827804,-0.015436795302616213,1073
dual_momentum,1h,asia,00:00-08:00 UTC,-0.003735447153361715,-0.0004107922324399222,-0.39817923422007995,-0.004570872564980899,356
dual_momentum,1h,europe,07:00-16:00 UTC,-0.0016939751082869492,-0.0001856095582790407,-0.146012183709307,-0.006141635346546437,428
dual_momentum,1h,us,13:00-21:00 UTC,-0.007573499356781421,-0.0008350839031384915,-0.9229928756243362,-0.00870454574407431,355
dual_momentum,1h,overlap,13:00-16:00 UTC,-0.0029370481470074594,-0.00032310120335769116,-0.579205756622233,-0.0037162328986281024,138
dual_momentum,1h,night,21:00-24:00 UTC,-0.0033887958440674826,-0.0003729157893587212,-0.6797520673045168,-0.0037595680445355883,126
atr_breakout,1h,all,00:00-24:00 UTC,-0.007494489593359854,-0.0008224207578213178,-0.32635526487565447,-0.017182072142693294,1421
atr_breakout,1h,asia,00:00-08:00 UTC,-0.0021349153746670346,-0.0002338867603111327,-0.1889613253108994,-0.005858301064398663,376
atr_breakout,1h,europe,07:00-16:00 UTC,-0.0053354734976859275,-0.0005858666305938305,-0.3553437041706809,-0.010386677328740102,632
atr_breakout,1h,us,13:00-21:00 UTC,-0.005491823655410899,-0.0006028002518668562,-0.34903097566929314,-0.009319960067451727,650
atr_breakout,1h,overlap,13:00-16:00 UTC,-0.00550598642982536,-0.000605298932451308,-0.5207163890677118,-0.007862458602415634,332
atr_breakout,1h,night,21:00-24:00 UTC,0.0024254231034432916,0.0002662876167548591,0.32648423484683986,-0.0018871531759139248,135
bollinger_squeeze,1h,all,00:00-24:00 UTC,-0.0074706905272255986,-0.0008245676565363694,-1.0941567544423383,-0.007912824586625455,202
bollinger_squeeze,1h,asia,00:00-08:00 UTC,-0.002936936416147562,-0.0003234491176400242,-0.8284845706751603,-0.0037819915937600257,70
bollinger_squeeze,1h,europe,07:00-16:00 UTC,-0.002843038161176481,-0.0003130490299200357,-0.6271602713973865,-0.0029314553168972024,94
bollinger_squeeze,1h,us,13:00-21:00 UTC,-0.003873693587038596,-0.00042682737806565106,-0.9478962116238175,-0.0038976808920275774,76
bollinger_squeeze,1h,overlap,13:00-16:00 UTC,-0.0009037322065232889,-9.941763434020902e-05,-0.39377294359107934,-0.0010239997151693103,42
bollinger_squeeze,1h,night,21:00-24:00 UTC,0.0003482137106838312,3.831650162133787e-05,0.18111451080415483,-0.0003356642691112466,16
